Region Pair,p-value,size_pair,mean_pair,std_pair
AS vs AME,0.43366,"(19, 35)","(83.174, 81.9)","(3.344, 8.397)"
SA vs AME,0.415662,"(9, 35)","(80.422, 81.9)","(3.29, 8.397)"
ECA vs EAP,0.248106,"(54, 26)","(93.556, 91.404)","(6.279, 8.283)"
SA vs AS,0.056455,"(9, 19)","(80.422, 83.174)","(3.29, 3.344)"
AS vs EAP,5.6e-05,"(19, 26)","(83.174, 91.404)","(3.344, 8.283)"
AME vs EAP,5e-05,"(35, 26)","(81.9, 91.404)","(8.397, 8.283)"
SA vs EAP,3e-06,"(9, 26)","(80.422, 91.404)","(3.29, 8.283)"
SA vs SSA,2e-06,"(9, 45)","(80.422, 71.167)","(3.29, 5.361)"
SA vs ECA,0.0,"(9, 54)","(80.422, 93.556)","(3.29, 6.279)"
SSA vs ECA,0.0,"(45, 54)","(71.167, 93.556)","(5.361, 6.279)"
SSA vs AS,0.0,"(45, 19)","(71.167, 83.174)","(5.361, 3.344)"
SSA vs AME,0.0,"(45, 35)","(71.167, 81.9)","(5.361, 8.397)"
SSA vs EAP,0.0,"(45, 26)","(71.167, 91.404)","(5.361, 8.283)"
ECA vs AS,0.0,"(54, 19)","(93.556, 83.174)","(6.279, 3.344)"
ECA vs AME,0.0,"(54, 35)","(93.556, 81.9)","(6.279, 8.397)"
