Rank,Country,Measured IQ,IQ data quality, SchAch,SA direct,SA scaled,SA data quality, Final IQ, Final IQ
1,Singapore,108.5,5,586.8,109.8,106.4,10,107.1,107.1
2,China,105.5,16,601.7,112.1,108.2,2,105.8,105.8
3,Hong Kong,108,16,559.7,105.6,103.1,14,105.7,105.7
4.5,Korea: South,106,9,565.7,106.6,103.8,16,104.6,104.6
4.5,Taiwan,105,19,565.3,106.5,103.8,10,104.6,104.6
6,Japan,105,25,558.8,105.5,103,16,104.2,104.2
7,Finland,97,5,557.8,105.4,102.9,10,100.9,100.9
8.5,Canada,100,9,538.8,102.4,100.6,16,100.4,100.4
8.5,Netherlands,100,10,540.7,102.7,100.8,12,100.4,100.4
10,Liechtenstein,,,536.2,102,100.3,8,100.3,100.3
11,Switzerland,101,6,531.6,101.3,99.7,10,100.2,100.2
12,Mongolia,100,6,,,,,100,100
13,Macao,,,533.6,101.6,99.9,6,99.9,99.9
14,Estonia,99,7,539.3,102.5,100.6,6,99.7,99.7
15,Belgium,99,8,530.1,101.1,99.5,14,99.3,99.3
16,Australia,98,12,534.3,101.7,100,16,99.2,99.2
17,United Kingdom,100,7,523.2,100,98.7,14,99.1,99.1
18,Austria,99.5,4,523.7,100.1,98.7,10,99,99
19.5,CzechRep.,98,7,528.2,100.8,99.3,14,98.9,98.9
19.5,New Zealand,99,1,523.7,100.1,98.7,14,98.9,98.9
21.5,England,,,524.3,102.2,98.8,8,98.8,98.8
21.5,Germany,99,17,520.4,99.6,98.3,10,98.8,98.8
23.5,Iceland,101,4,514.7,98.7,97.6,10,98.6,98.6
23.5,Sweden,99,8,521.1,99.7,98.4,14,98.6,98.6
25.5,France,98,10,518.7,99.3,98.1,10,98.1,98.1
25.5,Hungary,96.5,8,525.2,100.3,98,16,98.1,98.1
27,Slovakia,98,8,517.1,99.1,97.9,12,98,98
28,Croatia,99,7,499.1,96.3,95.8,4,97.8,97.8
29,Slovenia,96,11,526,100.4,99,12,97.6,97.6
30,USA,98,10,510.6,98.1,97.2,16,97.5,97.5
31.5,Denmark,98,5,507.8,97.6,96.8,10,97.2,97.2
31.5,Norway,100,2,507.3,97.5,96.8,14,97.2,97.2
33.5,Russia,96.5,6,506.5,97.4,96.7,16,96.6,96.6
33.5,Spain,97,11,503,96.9,96.2,14,96.6,96.6
35,Scotland,,,502.3,96.8,96.2,6,96.2,96.2
36.5,Italy,97,14,495.8,95.8,95.4,16,96.1,96.1
36.5,Poland,95,13,516,98.9,97.8,8,96.1,96.1
38,Latvia,,,500.3,96.5,95.9,14,95.9,95.9
39,Malta,97,2,480.7,93.4,93.5,2,95.3,95.3
40,Luxembourg,,,492.9,95.3,95,8,95,95
41,Ireland,92.5,18,526.6,100.5,99.1,10,94.9,94.9
42,Israel,95,14,485.3,94.1,94.1,12,94.6,94.6
43,Portugal,94.5,6,487,94.4,94.3,10,94.4,94.4
44.5,Lithuania,92,7,498.5,96.4,95.7,12,94.3,94.3
44.5,Ukraine,95,2,481.7,93.6,93.7,2,94.3,94.3
46,Vietnam,94,3,,,,,94,94
47,Bulgaria,92.5,6,481.9,93.6,93.7,12,93.3,93.3
48.5,Armenia,92,3,485.1,94.1,94.1,4,93.2,93.2
48.5,Greece,92,10,487.4,94.5,94.4,10,93.2,93.2
50,Argentina,96,10,407.6,82.1,84.7,4,92.8,92.8
52,(Serbia &) Montenegro,93,4,459.6,90.2,91,10,92,92
52,Moldova,,,468.1,91.5,92,4,92,92
52,Tibet,92,2,,,,,92,92
54,Cyprus,,,466.2,91.2,91.8,8,91.8,91.8
55,Malaysia,88.5,8,500.7,96.5,96,6,91.7,91.7
56.5,Greenland,,,,,,,91,91
56.5,Romania,91,6,460,90.2,91,12,91,91
58,Uruguay,96,2,441.3,87.3,88.8,6,90.6,90.6
59,Macedonia,,,455.7,89.6,90.5,4,90.5,90.5
60,Serbia & (Montenegro),88.5,4,459.6,90.2,91,10,90.3,90.3
61,Bermuda,90,4,,,,,90,90
62,Thailand,88,8,460.7,90.3,91.1,12,89.9,89.9
63,Chile,91,10,437.9,86.8,88.4,8,89.8,89.8
64,Turkey,88.5,9,453.7,89.3,90.3,10,89.4,89.4
66,Cook Islands,89,2,,,,,89,89
66,Laos,89,2,,,,,89,89
66,Suriname,89,4,,,,,89,89
69,Ecuador,88,5,,,,,88,88
69,Mauritius,89,5,395.5,80.3,83.3,1,88,88
69,Samoa (Western),88,5,,,,,88,88
71,Mexico,88,8,431.2,85.8,87.6,8,87.8,87.8
72,United Arab Emirates,83,6,477.5,92.9,93.2,4,87.1,87.1
74,Bolivia,87,6,,,,,87,87
74,Iraq,87,5,,,,,87,87
74,Netherlands Antilles,87,2,,,,,87,87
76.5,Georgia,,,424.1,84.7,86.7,2,86.7,86.7
76.5,Jordan,84,8,441.6,87.4,88.8,10,86.7,86.7
